書名,星星評等,不含稅價格,含稅價格,稅金,庫存數量,評論數
A Light in the Attic,3,51.77,51.77,0.0,22,0
Tipping the Velvet,1,53.74,53.74,0.0,20,0
Soumission,1,50.1,50.1,0.0,20,0
Sharp Objects,4,47.82,47.82,0.0,20,0
Sapiens: A Brief History of Humankind,5,54.23,54.23,0.0,20,0
The Requiem Red,1,22.65,22.65,0.0,19,0
The Dirty Little Secrets of Getting Your Dream Job,4,33.34,33.34,0.0,19,0
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,17.93,17.93,0.0,19,0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,22.6,22.6,0.0,19,0
The Black Maria,1,52.15,52.15,0.0,19,0
"Starving Hearts (Triangular Trade Trilogy, #1)",2,13.99,13.99,0.0,19,0
Shakespeare's Sonnets,4,20.66,20.66,0.0,19,0
Set Me Free,5,17.46,17.46,0.0,19,0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29,52.29,0.0,19,0
Rip it Up and Start Again,5,35.02,35.02,0.0,19,0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,57.25,57.25,0.0,19,0
Olio,1,23.88,23.88,0.0,19,0
Mesaerion: The Best Science Fiction Stories 1800-1849,1,37.59,37.59,0.0,19,0
Libertarianism for Beginners,2,51.33,51.33,0.0,19,0
It's Only the Himalayas,2,45.17,45.17,0.0,19,0
